time	latency
0	0.0
100	0.0
201	0.0
302	0.0
402	0.0
502	0.0
603	0.0
704	0.0
805	0.0
906	0.0
1006	0.0
1107	0.0
1208	0.0
1308	0.0
1409	0.0
1510	0.0
1611	0.0
1712	0.0
1829	0.0
1930	0.0
2031	0.0
2132	0.0
2233	0.0
2334	0.0
2435	0.0
2535	0.0
2636	0.0
2737	0.0
2838	0.0
2939	0.0
3040	0.0
3140	0.0
3249	0.0
3351	0.0
3452	0.0
3553	0.0
3653	0.0
3754	0.0
3855	0.0
3956	0.0
4056	0.0
4156	0.0
4257	0.0
4360	0.0
4461	0.0
4685	0.0
4786	0.0
4887	0.0
4988	0.0
5090	0.0
5190	0.0
5290	0.0
5541	0.0
5641	0.0
5747	0.0
5849	0.0
5950	0.0
6050	0.0
6152	0.0
6252	0.0
6393	0.0
6497	0.0
6598	0.0
6699	0.0
6800	0.0
6900	0.0
7001	0.0
7102	0.0
7204	0.0
7305	0.0
7406	0.0
7568	0.0
7669	0.0
7769	0.0
7870	0.0
7971	0.0
8071	0.0
8172	0.0
8273	0.0
8373	0.0
8475	0.0
8576	0.0
8677	0.0
8777	0.0
8878	0.0
8979	0.0
9079	0.0
9180	0.0
9470	0.0
9570	0.0
9671	0.0
9771	0.0
9872	0.0
10061	0.0
10161	0.0
