time	latency
0	0.0
102	0.0
203	0.0
304	0.0
406	19.585505
507	19.585505
607	19.585505
708	19.926954
809	43.780838
909	40.50275
1010	40.50275
1111	37.587227
1212	37.587227
1313	32.985653
1413	33.387085
1514	33.387085
1615	31.148376
1716	27.810184
1817	28.729166
1917	23.02156
2017	23.02156
2119	47.20747
2220	43.18672
2321	42.291245
2422	49.27591
2523	49.27591
2624	46.148315
2725	42.233482
2826	42.233482
2926	35.999115
3026	38.099205
3127	51.089287
3228	56.656094
3329	48.211433
3430	43.551132
3530	44.29602
3630	44.29602
3731	50.6328
3832	48.65331
3933	55.373764
4033	38.90442
4134	31.787321
4234	24.288061
4335	55.352303
4435	50.41707
4536	66.70941
4637	46.17534
4737	46.17534
4838	33.369884
4940	19.881256
5041	13.806969
5142	24.726274
5243	35.01514
5344	145.94705
5445	106.18814
5545	52.920406
5646	52.920406
5746	72.69681
5847	56.101974
5948	37.594025
6049	47.736248
6149	25.19747
6250	26.977724
6351	16.35791
6452	11.435732
6834	9.425726
6935	21.293058
7036	17.88165
7138	17.88165
7239	11.448179
7340	8.114065
7440	71.09424
7541	36.717056
7642	36.717056
7742	19.19825
7843	48.034386
7944	31.41717
8045	20.18956
8146	25.170444
8247	13.339154
8401	30.894192
8502	26.644049
8602	37.551777
8702	51.313324
8804	29.474287
8905	11.4213295
9008	43.469143
9108	22.84597
9209	31.80713
9310	25.264399
9411	22.416462
9511	22.416462
9612	27.062767
9713	27.062767
9813	39.441856
9914	14.445239
10015	11.25312
10116	20.72781
10218	20.72781
10319	20.72781
